"names","Formula","aicc","k","logL","delta.aic"
"model909","Surv(Erad_Time, Event) ~ area + public + private + maori + privNumb","790.245701422224","9","-385.497850711112","54.7080157627696"
"model404","Surv(Erad_Time, Event) ~ area + public + private + privNumb + public:private","790.271925689693","9","-385.510962844847","54.7342400302384"
"model1048","Surv(Erad_Time, Event) ~ landing + public + private + maori + maoriNumb + public:maori","790.308352047151","10","-384.384945254345","54.7706663876958"
"model908","Surv(Erad_Time, Event) ~ area + landing + maori + privNumb + maoriNumb + area:privNumb","790.326717654007","14","-379.652567460097","54.7890319945519"
"model930","Surv(Erad_Time, Event) ~ area + public + maori + privNumb + maoriNumb + public:maori","790.357423532129","12","-382.072328787341","54.8197378726741"
"model888","Surv(Erad_Time, Event) ~ area + landing + public + private + privNumb + area:privNumb + public:private","790.421394292528","13","-380.910697146264","54.8837086330735"
"model132","Surv(Erad_Time, Event) ~ area + private + privNumb + area:privNumb","790.504779093974","10","-384.483158777756","54.9670934345189"
"model533","Surv(Erad_Time, Event) ~ public + private + maori + privNumb + private:maori","790.522613669816","9","-385.636306834908","54.9849280103608"
"model200","Surv(Erad_Time, Event) ~ public + private + privNumb + public:private","790.557872347578","8","-386.782384449651","55.020186688123"
"model206","Surv(Erad_Time, Event) ~ public + maori + maoriNumb + public:maori","790.614253972387","8","-386.810575262056","55.0765683129321"
"model920","Surv(Erad_Time, Event) ~ area + public + private + maori + maoriNumb + public:private","790.639514295365","10","-384.550526378452","55.1018286359101"
"model531","Surv(Erad_Time, Event) ~ public + private + maori + privNumb + public:private","790.780446164954","9","-385.765223082477","55.2427605054994"
"model532","Surv(Erad_Time, Event) ~ public + private + maori + privNumb + public:maori","790.788308191795","9","-385.769154095898","55.2506225323405"
"model405","Surv(Erad_Time, Event) ~ area + public + private + privNumb + area:privNumb + public:private","790.90812425124","12","-382.347679146896","55.3704385917847"
"model1518","Surv(Erad_Time, Event) ~ area + landing + public + private + maori + privNumb + area:privNumb","790.917938861134","13","-381.158969430567","55.3802532016796"
"model1058","Surv(Erad_Time, Event) ~ public + private + maori + privNumb + maoriNumb + public:private","790.924844938294","12","-382.356039490424","55.3871592788391"
"model894","Surv(Erad_Time, Event) ~ area + landing + public + maori + privNumb + area:privNumb + public:maori","790.92835327893","13","-381.164176639465","55.3906676194748"
"model1053","Surv(Erad_Time, Event) ~ landing + public + maori + privNumb + maoriNumb","790.95945536356","11","-383.550150216991","55.4217697041051"
"model929","Surv(Erad_Time, Event) ~ area + public + maori + privNumb + maoriNumb + area:privNumb","790.982292547231","14","-379.980354906709","55.4446068877762"
"model927","Surv(Erad_Time, Event) ~ area + public + private + privNumb + maoriNumb + area:privNumb + public:private","790.999830453188","15","-378.760784791812","55.4621447937335"
"model409","Surv(Erad_Time, Event) ~ area + public + maori + privNumb + area:privNumb","791.007942608566","11","-383.574393839494","55.4702569491108"
"model932","Surv(Erad_Time, Event) ~ area + private + maori + privNumb + maoriNumb","791.072753394371","11","-383.606799232397","55.535067734916"
"model998","Surv(Erad_Time, Event) ~ SS + public + private + maori + maoriNumb + public:private:maori","791.285547450757","17","-376.392773725379","55.7478617913023"
"model1055","Surv(Erad_Time, Event) ~ landing + private + maori + privNumb + maoriNumb","791.411592741771","11","-383.776218906097","55.8739070823164"
"model925","Surv(Erad_Time, Event) ~ area + public + private + privNumb + maoriNumb + area:privNumb","791.617333171456","14","-380.297875218821","56.0796475120007"
"model933","Surv(Erad_Time, Event) ~ area + private + maori + privNumb + maoriNumb + area:privNumb","791.642382448285","14","-380.310399857236","56.10469678883"
"model1635","Surv(Erad_Time, Event) ~ landing + public + private + maori + privNumb + maoriNumb + private:maori","791.730037520869","13","-381.565018760434","56.1923518614141"
"model413","Surv(Erad_Time, Event) ~ area + public + maori + maoriNumb + public:maori","791.855383200145","9","-386.302691600073","56.3176975406905"
"model1534","Surv(Erad_Time, Event) ~ area + landing + public + private + privNumb + maoriNumb + public:private","791.877773249534","13","-381.638886624767","56.3400875900795"
